district_id,disease,predicted_date,predicted_cases,actual_cases,probability,temperature,humidity,rainfall_mm,season_type
44,Diarrhea,2026-06-08,260,242,0.71,29.1,90.5,185.0,Monsoon
44,Diarrhea,2026-06-15,320,305,0.77,29.6,92.0,220.4,Monsoon
44,Diarrhea,2026-06-22,410,390,0.83,28.9,94.1,280.6,Monsoon
44,Diarrhea,2026-06-29,530,505,0.89,29.3,95.8,310.2,Monsoon
44,Diarrhea,2026-07-06,640,610,0.93,29.7,96.5,290.0,Monsoon
44,Diarrhea,2026-07-13,750,725,0.96,29.1,97.8,340.5,Monsoon
44,Diarrhea,2026-07-20,860,820,0.98,28.6,98.2,380.0,Monsoon
44,Diarrhea,2026-07-27,920,890,0.99,29.0,98.9,350.4,Monsoon
44,Diarrhea,2026-08-03,850,,0.95,29.5,97.2,260.2,Monsoon
44,Diarrhea,2026-08-10,740,,0.89,30.1,94.5,190.0,Monsoon
44,Diarrhea,2026-08-17,610,,0.82,30.6,91.0,130.5,Monsoon
44,Diarrhea,2026-08-24,490,,0.74,31.2,88.4,85.0,Monsoon
44,Diarrhea,2026-08-31,380,,0.65,31.7,85.1,40.2,Monsoon
44,Diarrhea,2026-09-07,290,,0.56,32.2,82.0,20.0,Monsoon
44,Diarrhea,2026-09-14,210,,0.45,32.8,79.4,10.5,Monsoon
44,Diarrhea,2026-09-21,150,,0.36,33.4,76.0,2.0,Monsoon
44,Diarrhea,2026-09-28,110,,0.28,34.0,73.2,0.0,Monsoon
1,Influenza,2026-11-02,80,72,0.35,24.5,62.1,10.0,Winter
1,Influenza,2026-11-09,110,98,0.42,23.1,59.4,5.2,Winter
1,Influenza,2026-11-16,140,130,0.49,22.0,58.0,0.0,Winter
1,Influenza,2026-11-23,180,165,0.56,21.2,56.3,0.0,Winter
1,Influenza,2026-11-30,230,215,0.63,20.5,54.8,0.0,Winter
1,Influenza,2026-12-07,290,275,0.71,19.4,52.0,0.0,Winter
1,Influenza,2026-12-14,370,350,0.78,18.6,50.1,0.0,Winter
1,Influenza,2026-12-21,460,440,0.84,17.9,49.2,0.0,Winter
1,Influenza,2026-12-28,540,515,0.89,17.2,48.5,0.0,Winter
1,Influenza,2026-01-04,610,,0.92,16.5,47.0,0.0,Winter
1,Influenza,2026-01-11,650,,0.94,15.8,46.2,0.0,Winter
1,Influenza,2026-01-18,630,,0.91,16.2,47.5,0.0,Winter
1,Influenza,2026-01-25,560,,0.85,17.0,49.1,0.0,Winter
1,Influenza,2026-02-01,450,,0.76,18.2,51.4,0.0,Winter
1,Influenza,2026-02-08,340,,0.65,19.5,53.8,2.0,Winter
1,Influenza,2026-02-15,230,,0.52,20.8,56.0,5.4,Winter
1,Influenza,2026-02-22,150,,0.40,22.1,59.2,12.0,Winter
1,Influenza,2026-02-28,90,,0.29,23.5,61.5,18.0,Winter
44,Influenza,2026-11-02,50,42,0.31,22.4,68.2,15.0,Winter
44,Influenza,2026-11-09,70,61,0.38,21.0,65.1,8.0,Winter
44,Influenza,2026-11-16,95,85,0.45,19.8,63.4,2.0,Winter
44,Influenza,2026-11-23,120,110,0.52,18.9,61.0,0.0,Winter
44,Influenza,2026-11-30,160,148,0.60,18.2,59.5,0.0,Winter
44,Influenza,2026-12-07,210,195,0.68,17.4,57.2,0.0,Winter
44,Influenza,2026-12-14,270,250,0.75,16.6,55.0,0.0,Winter
44,Influenza,2026-12-21,330,312,0.81,15.9,53.8,0.0,Winter
44,Influenza,2026-12-28,390,370,0.86,15.2,52.1,0.0,Winter
44,Influenza,2026-01-04,430,,0.89,14.6,51.0,0.0,Winter
44,Influenza,2026-01-11,450,,0.91,14.0,50.2,0.0,Winter
44,Influenza,2026-01-18,420,,0.87,14.8,51.9,0.0,Winter
44,Influenza,2026-01-25,360,,0.80,15.5,53.4,0.0,Winter
44,Influenza,2026-02-01,290,,0.71,16.8,56.2,0.0,Winter
44,Influenza,2026-02-08,210,,0.59,18.0,59.0,4.0,Winter
44,Influenza,2026-02-15,140,,0.46,19.2,62.4,10.2,Winter
44,Influenza,2026-02-22,90,,0.34,20.5,65.8,15.0,Winter
44,Influenza,2026-02-28,50,,0.22,21.8,69.0,22.4,Winter
1,Typhoid,2026-03-02,40,35,0.30,28.5,52.1,12.0,Summer
1,Typhoid,2026-03-09,55,48,0.36,29.8,54.0,5.0,Summer
1,Typhoid,2026-03-16,70,64,0.42,31.2,55.8,0.0,Summer
1,Typhoid,2026-03-23,95,88,0.49,32.6,57.2,0.0,Summer
1,Typhoid,2026-03-30,120,110,0.56,33.8,58.9,2.4,Summer
1,Typhoid,2026-04-06,150,138,0.63,34.5,60.1,10.5,Summer
1,Typhoid,2026-04-13,190,178,0.70,35.2,62.4,18.0,Summer
1,Typhoid,2026-04-20,240,222,0.76,35.8,64.0,25.4,Summer
1,Typhoid,2026-04-27,290,270,0.81,36.5,65.8,35.0,Summer
1,Typhoid,2026-05-04,320,,0.84,35.9,68.2,55.2,Summer
1,Typhoid,2026-05-11,340,,0.86,34.8,71.0,75.0,Summer
1,Typhoid,2026-05-18,310,,0.79,33.2,74.5,92.4,Summer
1,Typhoid,2026-05-25,250,,0.69,31.8,76.9,115.0,Summer
